location,Year,Month,Value Column Name,Value,Last Updated,Source,ir_comments
"Italy","2020","November","% death","0.018390151432995997","","Visual Measure",""
"Italy","2020","December","new_cases","505612","","Native",""
"Italy","2020","December","new_deaths","18583","","Native",""
"Italy","2020","December","% death","0.03675347895224006","","Visual Measure",""
"Italy","2021","January","new_cases","445866","","Native",""
"Italy","2021","January","new_deaths","14357","","Native",""
"Italy","2021","January","% death","0.03220025747646154","","Visual Measure",""
"Italy","2021","February","new_cases","372233","","Native",""
"Italy","2021","February","new_deaths","9183","","Native",""
"Italy","2021","February","% death","0.024670031942358683","","Visual Measure",""
"Italy","2021","March","new_cases","659634","","Native",""
"Italy","2021","March","new_deaths","11647","","Native",""
"Italy","2021","March","% death","0.017656761173620524","","Visual Measure",""
"Italy","2021","April","new_cases","320000","","Native",""
"Italy","2021","April","new_deaths","8651","","Native",""
"Italy","2021","April","% death","0.027034375","","Visual Measure",""
"Turkey","2020","January","new_cases",,"","Native",""
"Turkey","2020","January","new_deaths",,"","Native",""
"Turkey","2020","January","% death","","","Visual Measure",""
"Turkey","2020","February","new_cases",,"","Native",""
"Turkey","2020","February","new_deaths",,"","Native",""
"Turkey","2020","February","% death","","","Visual Measure",""
"Turkey","2020","March","new_cases","13531","","Native",""
"Turkey","2020","March","new_deaths","214","","Native",""
"Turkey","2020","March","% death","0.015815534698100656","","Visual Measure",""
"Turkey","2020","April","new_cases","106673","","Native",""
"Turkey","2020","April","new_deaths","2960","","Native",""
"Turkey","2020","April","% death","0.02774835244157378","","Visual Measure",""
"Turkey","2020","May","new_cases","43738","","Native",""
"Turkey","2020","May","new_deaths","1366","","Native",""
"Turkey","2020","May","% death","0.031231423476153458","","Visual Measure",""
"Turkey","2020","June","new_cases","35964","","Native",""
"Turkey","2020","June","new_deaths","591","","Native",""
"Turkey","2020","June","% death","0.0164330997664331","","Visual Measure",""
"Turkey","2020","July","new_cases","30967","","Native",""
"Turkey","2020","July","new_deaths","560","","Native",""
"Turkey","2020","July","% death","0.018083766590241225","","Visual Measure",""
"Turkey","2020","August","new_cases","39260","","Native",""
"Turkey","2020","August","new_deaths","679","","Native",""
"Turkey","2020","August","% death","0.01729495669893021","","Visual Measure",""
"Turkey","2020","September","new_cases","48530","","Native",""
"Turkey","2020","September","new_deaths","1825","","Native",""
"Turkey","2020","September","% death","0.03760560478054811","","Visual Measure",""
"Turkey","2020","October","new_cases","56704","","Native",""
"Turkey","2020","October","new_deaths","2057","","Native",""
"Turkey","2020","October","% death","0.03627610045146727","","Visual Measure",""
"Turkey","2020","November","new_cases","263480","","Native",""
"Turkey","2020","November","new_deaths","3494","","Native",""
"Turkey","2020","November","% death","0.013260968574464856","","Visual Measure",""
"Turkey","2020","December","new_cases","746580","","Native",""
"Turkey","2020","December","new_deaths","7135","","Native",""
"Turkey","2020","December","% death","0.009556912855956496","","Visual Measure",""
"Turkey","2021","January","new_cases","268811","","Native",""
"Turkey","2021","January","new_deaths","5112","","Native",""
"Turkey","2021","January","% death","0.019017078914181338","","Visual Measure",""
"Turkey","2021","February","new_cases","224125","","Native",""
"Turkey","2021","February","new_deaths","2576","","Native",""
"Turkey","2021","February","% death","0.011493586168432794","","Visual Measure",""
"Turkey","2021","March","new_cases","615594","","Native",""
"Turkey","2021","March","new_deaths","2968","","Native",""
"Turkey","2021","March","% death","0.004821359532419095","","Visual Measure",""
"Turkey","2021","April","new_cases","1129409","","Native",""
"Turkey","2021","April","new_deaths","5438","","Native",""
"Turkey","2021","April","% death","0.004814907619825944","","Visual Measure",""
"Spain","2020","January","new_cases",,"","Native",""
"Spain","2020","January","new_deaths",,"","Native",""
"Spain","2020","January","% death","","","Visual Measure",""
"Spain","2020","February","new_cases","45","","Native",""
"Spain","2020","February","new_deaths",,"","Native",""
"Spain","2020","February","% death","0","","Visual Measure",""
"Spain","2020","March","new_cases","95878","","Native",""
"Spain","2020","March","new_deaths","8464","","Native",""
"Spain","2020","March","% death","0.08827885437743799","","Visual Measure",""
"Spain","2020","April","new_cases","117512","","Native",""
"Spain","2020","April","new_deaths","16079","","Native",""
"Spain","2020","April","% death","0.13682857920893185","","Visual Measure",""
"Spain","2020","May","new_cases","26044","","Native",""
"Spain","2020","May","new_deaths","2584","","Native",""
"Spain","2020","May","% death","0.09921671018276762","","Visual Measure",""
"Spain","2020","June","new_cases","9792","","Native",""
"Spain","2020","June","new_deaths","1228","","Native",""
"Spain","2020","June","% death","0.12540849673202614","","Visual Measure",""
"Spain","2020","July","new_cases","39251","","Native",""
"Spain","2020","July","new_deaths","90","","Native",""
"Spain","2020","July","% death","0.0022929352118417367","","Visual Measure",""
"Spain","2020","August","new_cases","174336","","Native",""
"Spain","2020","August","new_deaths","649","","Native",""
"Spain","2020","August","% death","0.003722696402349486","","Visual Measure",""
"Spain","2020","September","new_cases","306330","","Native",""
"Spain","2020","September","new_deaths","2697","","Native",""
"Spain","2020","September","% death","0.008804230731564","","Visual Measure",""
"Spain","2020","October","new_cases","416490","","Native",""
"Spain","2020","October","new_deaths","4087","","Native",""
"Spain","2020","October","% death","0.009812960695334822","","Visual Measure",""
"Spain","2020","November","new_cases","462509","","Native",""
"Spain","2020","November","new_deaths","9191","","Native",""
